City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,tromso,69.6496,18.957,275.03,75,75,2.06,NO,1682564335
116,kinablangan,7.6947,126.5503,302.07,73,100,2.78,PH,1682564336
117,al khafji,28.4391,48.4913,298.12,43,0,4.21,SA,1682564337
118,remire-montjoly,4.9167,-52.2667,297.17,94,40,0.0,GF,1682564338
119,thompson,55.7435,-97.8558,279.24,39,75,3.09,CA,1682564339
120,siwa oasis,29.2041,25.5195,295.65,29,0,2.68,EG,1682564341
121,tsiombe,-25.3,45.4833,291.15,91,4,0.37,MG,1682564343
122,udachny,66.4167,112.4,271.18,86,98,3.91,RU,1682564346
123,ola,59.5833,151.2833,275.04,76,68,1.61,RU,1682564348
124,port douglas,-16.4833,145.4667,299.07,76,51,7.15,AU,1682564350
125,island harbour,50.724,-1.2758,283.97,87,85,2.68,GB,1682564352
126,prainha,-1.8,-53.48,296.02,98,100,1.69,BR,1682564354
127,recreo,-29.2818,-65.061,291.84,76,0,4.21,AR,1682564356
128,conception bay south,47.4999,-52.9981,274.57,90,67,6.19,CA,1682564152
129,lihue,21.9789,-159.3672,299.73,71,75,6.17,US,1682564360
130,richards bay,-28.783,32.0377,294.87,87,2,5.8,ZA,1682564362
131,tchibanga,-2.85,11.0333,295.68,98,100,0.52,GA,1682564364
132,colares,38.7992,-9.4469,294.44,53,100,3.58,PT,1682564366
133,brigantine,39.4101,-74.3646,285.94,71,100,3.13,US,1682564369
134,mek'ele,13.4967,39.4753,291.34,58,91,0.58,ET,1682564373
135,ketchikan,55.3422,-131.6461,281.41,66,75,2.57,US,1682564320
136,cruzeiro do sul,-29.5128,-51.9853,291.77,94,25,1.95,BR,1682564377
137,adelaide,-34.9333,138.6,296.72,55,20,7.72,AU,1682564357
138,ocean shores,46.9737,-124.1563,286.15,86,0,4.12,US,1682564380
139,mirnyy,62.5353,113.9611,273.28,80,99,0.89,RU,1682564381
140,gulf breeze,30.3571,-87.1639,295.38,90,75,2.57,US,1682564098
141,sychevka,55.8252,34.2736,283.16,81,93,2.56,RU,1682564383
142,barcelos,41.5388,-8.6151,289.73,86,100,1.47,PT,1682564385
143,isafjordur,66.0755,-23.124,271.17,68,73,3.06,IS,1682564386
144,mount gambier,-37.8333,140.7667,293.95,52,52,4.74,AU,1682564387
145,mammoth lakes,37.6485,-118.9721,281.55,36,0,4.12,US,1682564388
146,olonkinbyen,70.9221,-8.7187,270.54,91,100,8.75,SJ,1682564390
147,legaspi,13.1372,123.7344,303.71,64,63,3.59,PH,1682564391
148,jamestown,42.097,-79.2353,276.95,70,0,4.12,US,1682564249
149,la passe,45.5549,-0.8967,285.92,90,100,2.28,FR,1682564393
150,stanley,54.868,-1.6985,278.02,94,93,0.0,GB,1682564394
151,tuscania,42.4206,11.8712,283.41,80,40,1.78,IT,1682564396
152,askoy,60.4092,5.226,276.46,94,75,3.6,NO,1682564397
153,gadzhiyevo,69.2551,33.3362,271.17,76,97,4.25,RU,1682564398
154,port blair,11.6667,92.75,303.87,67,75,5.43,IN,1682564400
155,zhytomyr,50.2649,28.6767,277.11,96,100,6.0,UA,1682564401
156,yozgat,39.5833,35.3333,280.87,73,90,1.79,TR,1682564415
157,constantia,44.1833,28.65,279.65,77,100,10.04,RO,1682564423
158,baymak,52.5933,58.3225,286.39,50,100,1.64,RU,1682564426
159,the dalles,45.5946,-121.1787,295.93,54,100,4.38,US,1682564430
160,kittila,67.6647,24.8936,275.23,69,100,4.63,FI,1682564433
161,georgetown,5.4112,100.3354,303.12,79,20,2.24,MY,1682564435
162,howrah,22.5892,88.3103,304.15,74,73,3.09,IN,1682564438
163,greymouth,-42.4667,171.2,288.35,67,2,2.3,NZ,1682564434
164,mabinay,9.7272,122.9017,304.89,56,100,5.28,PH,1682564441
165,saiha,22.4833,92.9667,303.85,26,60,1.05,IN,1682564442
166,trebinje,42.7119,18.3442,285.34,40,0,2.57,BA,1682564256
167,shahrud,36.4182,54.9763,289.73,54,64,1.62,IR,1682564445
168,kingscliff,-28.2667,153.5667,297.46,69,40,5.66,AU,1682564446
169,languyan,5.2618,120.0807,303.7,62,100,2.24,PH,1682564447
170,luang namtha,20.9497,101.4011,296.16,83,75,2.06,LA,1682564449
171,hawaiian paradise park,19.5933,-154.9731,297.61,82,91,4.11,US,1682564450
172,omdurman,15.6445,32.4777,305.89,31,98,5.24,SD,1682564451
173,qarqaraly,49.4058,75.4742,287.03,41,60,0.63,KZ,1682564452
174,grande prairie,55.1667,-118.8027,280.25,57,75,9.77,CA,1682564278
175,kodiak,57.79,-152.4072,276.88,87,100,6.69,US,1682564454
176,zeya,53.75,127.2667,280.87,30,9,3.65,RU,1682564456
177,fort bragg,35.139,-79.006,288.61,94,100,1.54,US,1682564406
178,ishigaki,24.3448,124.1572,296.22,88,75,5.14,JP,1682564458
179,yangambi,0.8102,24.4336,292.15,99,73,0.15,CD,1682564460
180,port lincoln,-34.7333,135.8667,292.57,70,43,9.96,AU,1682564461
181,tulchyn,48.6745,28.8464,278.11,84,100,1.34,UA,1682564466
182,aykhal,66.0,111.5,269.88,88,100,3.97,RU,1682564469
183,sinabang,2.4803,96.3801,301.91,73,99,1.79,ID,1682564472
184,velikiye luki,56.34,30.5452,282.72,89,83,1.74,RU,1682564474
185,fuerte olimpo,-21.0415,-57.8738,294.94,91,64,2.32,PY,1682564477
186,ghat,24.9647,10.1728,297.17,23,6,0.72,LY,1682564480
187,saipan,15.1355,145.701,300.7,80,34,8.83,MP,1682564482
188,weno,7.4515,151.8468,302.12,84,100,3.09,FM,1682564484
189,wewak,-3.5534,143.6268,302.82,70,43,2.3,PG,1682564486
190,umm kaddadah,13.6017,26.6876,300.82,47,83,1.83,SD,1682564488
191,nova sintra,14.8667,-24.7167,293.27,77,1,7.85,CV,1682564491
192,merizo village,13.2658,144.6691,304.03,85,7,8.72,GU,1682564493
193,talnakh,69.4865,88.3972,268.42,93,100,1.69,RU,1682564496
194,kamensk-ural'skiy,56.4185,61.9329,288.52,56,100,6.03,RU,1682564498
195,ribeira grande,38.5167,-28.7,290.25,87,61,8.49,PT,1682564499
196,kembe,4.6228,21.8865,292.4,98,92,0.67,CF,1682564500
197,mabopane,-25.4977,28.1007,291.3,65,3,0.95,ZA,1682564502
198,riberalta,-10.9833,-66.1,296.11,92,8,0.65,BO,1682564504
199,mozarlandia,-14.7447,-50.5706,296.74,67,2,0.73,BR,1682564505
200,daru,-9.0763,143.2092,300.61,81,100,6.13,PG,1682564506
201,coihueco,-36.6167,-71.8333,286.56,72,100,2.06,CL,1682564507
202,sandnessjoen,66.0217,12.6316,274.62,87,100,0.89,NO,1682564508
203,kolonia,50.9333,6.95,278.28,77,0,2.06,DE,1682564510
204,manghit,42.1156,60.0597,286.14,18,11,5.86,UZ,1682564511
205,lycksele,64.5954,18.6735,273.39,100,100,0.0,SE,1682564512
206,nako,31.8814,78.627,273.39,73,96,1.88,IN,1682564513
207,cabo san lucas,22.8909,-109.9124,296.27,84,0,5.03,MX,1682564429
208,kruisfontein,-34.0033,24.7314,287.53,89,100,2.76,ZA,1682564516
209,ulyanovsk,54.0,48.0,283.17,86,0,4.1,RU,1682564517
210,klyuchi,52.2667,79.1667,290.98,38,100,5.18,RU,1682564518
211,salinas,36.6777,-121.6555,292.6,85,0,4.63,US,1682564482
